2021-09-16T17:33:09.203+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.707+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.735+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.765+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.794+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.827+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.857+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.885+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.915+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.946+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
2021-09-16T17:33:09.976+09:00,dedka,KeyEvent,65535:17:2,HW 3,Editor,C:/Users/dedka/IdeaProjects/HW 3/src/ArrayEnum.java,,93,0,Default task
